Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-19,Sat,7:00 am to 7:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 07:20
2026-09-19,Sat,7:30 am to 8:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 07:54
2026-09-19,Sat,7:30 pm to 8:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 19:53
2026-09-19,Sat,8:00 am to 8:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 08:20
2026-09-19,Sat,8:00 pm to 8:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 20:18
2026-09-19,Sat,8:30 am to 9:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 08:54
2026-09-19,Sat,8:30 pm to 9:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 20:53
2026-09-19,Sat,9:00 am to 9:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 09:20
2026-09-19,Sat,9:00 pm to 9:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 21:19
2026-09-19,Sat,9:30 am to 10:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 09:54
2026-09-19,Sat,9:30 pm to 10:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,19 Sep 21:54
2026-09-19,Sat,10:00 am to 10:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,19 Sep 10:19
2026-09-19,Sat,10:00 pm to 10:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,19 Sep 22:20
2026-09-19,Sat,10:30 am to 11:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,19 Sep 10:53
2026-09-19,Sat,10:30 pm to 11:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,19 Sep 22:52
2026-09-19,Sat,11:00 am to 11:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,19 Sep 11:19
2026-09-19,Sat,11:00 pm to 11:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,19 Sep 23:18
2026-09-19,Sat,11:30 am to 12:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,19 Sep 11:58
2026-09-19,Sat,11:30 pm to 12:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,19 Sep 23:55
2026-09-19,Sat,12:00 am to 12:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,19 Sep 00:20
2026-09-19,Sat,12:00 pm to 12:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,19 Sep 12:22
